word,definition,variants,letter,original
Перелог,запущенное пахотное место.,,П,Перелог
Перемена,смена блюд в обед или на пиру.,,П,Перемена
Перепечи,ритуальные угощения на свадьбе – всякого рода печение.,,П,Перепечи
Перси,грудь.,,П,Перси
Персона,"особа, лицо; изображение особы.",,П,Персона
Персты,пальцы.,,П,Персты
Персть,"прах, пыль.",,П,Персть
Пест,толкач для растирания чего-либо в ступе.,,П,Пест
Пестрец,род гриба; рыба.,,П,Пестрец
Пестун,"лицо, заботящееся о ком-нибудь, опекающее кого-нибудь, заботливый воспитатель.",,П,Пестун
Петр,"христианский апостол, дни его отмечали 21 декабря и 16 января по ст. ст.: Петр-полукорм (полвина зимы, половина корма).",,П,Петр
Петровки,христианский праздник в честь апостолов Петра и Павла (29 июня по ст. ст.).,"Петров день, Петр и Павел",П,"Петровки, Петров день, Петр и Павел"
Пищаль,"старинное огневое оружие: пушка, длинное тяжелое ружье.",,П,Пищаль
Пласти,"пластовые куски рыбы, вычищенные и высушенные.",,П,Пласти
Платать одежду,"чинить, латать, класть заплатки.",,П,Платать одежду
Плоть,тело.,,П,Плоть
Плюсеное,"грязное, заброшенное, всякая «дрянь».",,П,Плюсеное
Повадка,"поблажка, потачка, привычка к чему-либо.",,П,Повадка
Повадно,"привычно, легко, приятно.",,П,Повадно
Повалушка,общая холодная летняя спальня.,,П,Повалушка
Поверстаться,"сравняться, поровняться.",,П,Поверстаться
Поветь,"крыша над скотным двором, также настил над скотным двором, где хранили сено, крытый теплый двор.",,П,Поветь
Повивальная бабушка,"женщина, оказывающая акушерскую помощь при родах.",,П,Повивальная бабушка
Повивка,"обмотка, обвивка.",,П,Повивка
Повой,"повойник, головной убор, шапочка из ткани замужних женщин; обряд повивания невесты во время которого на нее надевают повойник.",,П,Повой
Погост,"сельское кладбище, церковь с кладбищем, земельным участком и домами притча.",,П,Погост
Погребец,дорожный ларец с отдельным местом для посуды.,,П,Погребец
Погутка,"прибаутка, побаска.",,П,Погутка
Подвох,злонамерное действие с целью подвести кого-то.,,П,Подвох
Поджид,"ожидание, от слова «поджидание».",,П,Поджид
Поди,Добавлено из анализа облаков слов (ручная проверка),,П,Поди
Подклеть,"помещение в фундаменте дома, служившее для разных хозяйственных нужд.",,П,Подклеть
Подоплека,"подбой у крестьянской рубахи, от плеч по спине и груди.",,П,Подоплека
Подреза,«сани с подрезами» – с окованным санным полозом.,,П,Подреза
Поезд,"поезжане на свадьбе (седячие – также свидетели на свадьбе, но с другой стороны – жениха или невесты).",,П,Поезд
Пожитки,"мелкое имущество, вещи.",,П,Пожитки
Пожня,"луг, покос; нива, засеянная пашня.",,П,Пожня
Позорище,"зрелище, представление.",,П,Позорище
Покляпло,наклонилось к земле.,,П,Покляпло
Покров,христианский осенний праздник в честь Богородицы (1 октября по ст. ст.).,,П,Покров
Покуть,передний угол; почетное место за столом и на пиру.,,П,Покуть
Полати,деревянный настил в избе для спанья. Устраивается под потолком от печи до наружной стены.,,П,Полати
Полба,"культурный злак, разновидность пшеницы.",,П,Полба
Полдень,юг.,,П,Полдень
Полица,"пола, нижняя часть одежды.",,П,Полица
Полно,достаточно.,,П,Полно
Полок,сцена.,,П,Полок
Полтевое мясо (от полть,разделанная вдоль на две части тушка птицы.,полотки),П,"Полтевое мясо (от полть, полотки)"
Полтина,старинная монета достоинством в пятьдесят копеек или сумма в пятьдесят копеек.,,П,Полтина
Полушка,старинная монета достоинством в четверть копейки.,,П,Полушка
Польга,"льгота, облегчение, прибыль, нажива.",польза,П,"Польга, польза"
Помин,"поминовенье, воспоминанье.",,П,Помин
Понева,"шерстяная, тканная в полоску женская юбка.","понява, понявка",П,"Понева, понява, понявка"
Понеже,поскольку.,,П,Понеже
Попелуйник,"от «попел»: пепел, зола.",,П,Попелуйник (попелуйница)
Порато,"сильно, быстро.",,П,Порато
Пореют,взрослеют.,,П,Пореют
Порный,"сильный, здоровый; взрослый.",,П,Порный
Порода,происхождение (знатное).,,П,Порода
Пороша,падающий ровно снег; слой только что выпавшего снега.,,П,Пороша
Посад,настил в один ряд снопов на току.,,П,Посад
Посаженый отец,"лицо, замещающее отца жениха или невесты на свадьбе.",,П,Посаженый отец
Посконь,конопля; домотканый холст из конопли.,,П,Посконь
Поскотина,"выгон, пастбище.",,П,Поскотина
Послежде,после того как.,,П,Послежде
Постав,"ткацкий стан, на котором ткут законченный кусок сукна или холста.",,П,Постав
Постать,"полоса, поле; делянка, участок поля, занимаемый жницами.",,П,Постать
Постолы,легкая обувь из сырой кожи; один или несколько кусков кожи стянуты вокруг ступни шнурком.,,П,Постолы
Постоялый двор,"помещение для ночлега, с двором для лошадей и экипажей проезжих.",,П,Постоялый двор
Посул,"обещание, обет, данное слово.",,П,Посул
Потворные бабы,колдуньи.,,П,Потворные бабы
Потиральце,полотенце.,,П,Потиральце
Потка,"пичужка, пташка, маленькая птичка.",,П,Потка
Похва,подхвостник у лошади.,,П,Похва
Похлебство,"лесть, угодливость.",,П,Похлебство
Поярковый,"шерстяной, сделанный из поярка, шерсти ярка, овцы первой осени.",,П,Поярковый
Поярчатый,из шерсти первой стрижки ягненка.,,П,Поярчатый
Правеж,"взыскание долга, денег в старинном судопроизводстве с истязанием несостоятельного должника, от «править» – взыскивать, взимать; буквально – «выколачивание» долга.",,П,Правеж
Право,"справедливо, верно.",,П,Право
Прапорщик,младший офицерский чин в армии.,,П,Прапорщик
Прелесть,"обман, соблазн, коварство.",,П,Прелесть
Преснец,пресный хлеб.,,П,Преснец
Претить,запрещать.,,П,Претить
Приблюдено,"приготовлено, запасено, от «блюсти» – соблюдать, хранить, беречь.",,П,Приблюдено
Приборы,"наряды, украшения.",,П,Приборы
Приволока,богатый праздничный наряд.,,П,Приволока (собирательно)
Привяга,привязанность.,,П,Привяга
Прикалиток,"калитка, дверь во двор для пешего прохожего, рядом с воротами.",,П,Прикалиток
Приклад,пример.,,П,Приклад
Прилука,"приманка, прикормка.",,П,Прилука
Примолвка,"присказка, побасенка, речь, слово.",,П,Примолвка
Приписать,посвятить.,,П,Приписать
Присошка,подборка под сохой.,,П,Присошка
Присяжный,"присягнувший кому-нибудь, обязанный присягой.",,П,Присяжный
Притвор,"от «притворять» квашню: дав закиснуть тесту, прибавить муки и воды и месить.",,П,Притвор
Притомный,"свидетель, очевидец.",,П,Притомный
Притча,"рассказ в иносказательной форме; непонятное, труднообъяснимое явление, пословица.",,П,Притча
Причелина,"висячие резные доски, покрывающие торцы бревен у сруба и по краям кровли (от чело – лицо).",,П,Причелина
Прованское масло,"оливковое масло, употребляемое в пищу.",,П,Прованское масло
Проголосная,"протяжная, заунывная.",,П,Проголосная (песня)
Пролетье,"начало лета, июнь, пора до петровок.",,П,Пролетье
Промысл,"предначертание, попечение, мысль.",,П,Промысл
Протекция,"покровительство, защита.",,П,Протекция
Противно,"противоположно, наоборот.",,П,Противно
Прохлады,"удовольствия, наслаждения.",,П,Прохлады
Прутовая рыба,"вычищенная, слегка просоленная и затем провяленная на прутьях рыба высших сортов.",,П,Прутовая рыба
Прядать,"прыгать, скакать, отскакивать в сторону.",,П,Прядать
Пряженец,"лепешка, оладья на масле; блин из черной муки, с маслом.",,П,Пряженец
Пряженица,яичница на сковородке.,,П,Пряженица
Прясло,часть изгороди от столба до столба; приспособление из продольных жердей на столбах для сушки сена.,,П,Прясло
Пуд,"мера веса, равная 16,3 килограмма.",,П,Пуд
Пунш,"напиток, приготовлявшийся из рома или виноградной водки, разведенных горячей водой и приправленных сахаром.",,П,Пунш
Путина,"время, в течение которого производится лов рыбы.",,П,Путина
Пядень,"пядь, мера дины, равная ¼ аршина, или 0,178 метра.",,П,Пядень
Пялички,пяльцы.,,П,Пялички
Пяльцы,"рамка для натягивания ткани, по которой шьют или вышивают.",,П,Пяльцы
Пята,петля двери.,,П,Пята
Пятница,"пятница – христианская святая, день которой отмечался 14 октября по ст. ст.",Параскева,П,"Пятница, Параскева"
Пятью,пять раз.,,П,Пятью
Радеть,"стараться, заботиться, оказывать содействие. Разболокаться – раздеваться.",,Р,Радеть
Радуница,день поминовения умерших на первой неделе после пасхи.,,Р,Радуница
Раменье,"большой дремучий лес, окружающий поле; опушка леса.",,Р,Раменье
Рамон масло,аптечная (римская) ромашка,,Р,Рамон масло
Раскат,"гладкое место, по которому удобно катиться; помост, на котором ставились пушки на крепостных стенах.",,Р,Раскат
Распятие,здесь: крест с изображением распятого Христа.,,Р,Распятие
Расшиперить,"растопырить, раскорячить, расколоть оскалить зубы.",,Р,Расшиперить
Ратай,"крестьянин, пахарь.",,Р,Ратай
Ратин,шерстяная ткань с завитым ворсом для верхней одежды.,,Р,Ратин
Рачитель,"тот, кто заботится, печется о ком- или чем-либо.",,Р,Рачитель
Рвина,"ров, канава, яма, овраг.",,Р,Рвина
Рдеть,"краснеть, стыдиться.",,Р,Рдеть
Редут,полевое укрепление в виде многоугольника с наружным валом и рвом.,,Р,Редут
Реестр,"роспись, перечень.",,Р,Реестр
Рель,"мачта, виселица.",,Р,Рель
Ретивое,сердце.,,Р,Ретивое
Ретивый,"о сердце: горячее, сердитое.",ретливый,Р,"Ретивый, ретливый"
Решити,развязать.,,Р,Решити
Рещи,"сказать, изречь.",,Р,Рещи
Рига,постройка обычно на краю деревни для сушки хлеба; сарай для сушки снопов и молотьбы.,,Р,Рига
Роброн,парадное женское платье с широкой юбкой на каркасе.,,Р,Роброн
Рогатка,"продольный брус на крестообразно врубленных кольях, используемый для заграждения пути.",,Р,Рогатка
Рожон,"острый кол, укрепленный в наклонном положении.",,Р,Рожон
Розно,"отдельно, врозь.",,Р,Розно
Росстань,"перекресток, пересечение дорог, где прощаются разлучаются, расстаются.",,Р,Росстань
Рост,процент за денежную ссуду (отсюда – ростовщик).,,Р,Рост
Рубель,деревянный брусок с ручкой и поперечными желобками для прокатывания (глажения) белья.,,Р,Рубель
Руда,кровь.,,Р,Руда
Рукава,"верхняя, обычно украшенная часть рубахи.",,Р,Рукава
Рукавицы,дорожные муфты.,,Р,Рукавицы
Рупос,"хлам, отрепье, всякий мусор.",,Р,Рупос
Рушать,"резать, разрушать.",,Р,Рушать
Рыть,"бросать, кидать.",,Р,Рыть
Ряда,"условия, договор, подряд, сделка при покупке найме, поставках и пр.",,Р,Ряда (рада)
Рядно,"толстый холст из грубой пряжи, подстилка из такого холста.",,Р,Рядно
Рядович,"простой, рядовой человек, от слова «ряд»; сосед – в деревне.",,Р,Рядович
Рясный,обильный.,,Р,Рясный
Саадак,расшитый чехол для лука и стрел.,,С,Саадак
Садовина,"все, что растет в саду: ягоды, фрукты.",,С,Садовина
Саженье,"нанизанное камнями головное украшение или камешки на ожерелье «низанье»), пришитые на картон: ожерелье крепилось к платью с помощью мутовоза.",,С,Саженье
Сайдак,"оружие, состоящее из лука со стрелами.",,С,Сайдак
Сало,"мелкие пластинки, кусочки льда на поверхности воды перед ледоставом.",,С,Сало
Сан,"облачение, соответствующее положению человека.",,С,Сан
Сандрик,можжевеловая смола.,,С,Сандрик
Сарафан,длинная нарядная женская одежда.,,С,Сарафан
Сарынь,"толпа, ватага, сброд.",,С,Сарынь
Сатисфакция,"удовлетворение за обиду (обычно в форме дуэли, поединка).",,С,Сатисфакция
Сбой,заминка в беге.,,С,Сбой
Сбойливый,"крепко сложенный, ладный.",,С,Сбойливый
Свекор,отец мужа.,,С,Свекор
Сверстать,уравнять одно с другим.,,С,Сверстать
Сверстный человек,назначенный для данного дела.,,С,Сверстный человек
Светец,"подставка, держалка для лучины.",,С,Светец
Светлица,"чистая, светлая комната.",,С,Светлица
Свитка,верхняя длинная одежда (обычно у украинцев).,,С,Свитка
Свобожденник,вольноотпущенник.,,С,Свобожденник
Свороб,зуд на коже.,,С,Свороб
Свояченица,сестра жены.,,С,Свояченица
Святитель,"священноначальник (архиерей, епископ).",,С,Святитель
Сгибень,"пирог, тесто, согнутое пополам.",,С,Сгибень
Севня,"лукошко с зерном, которое сеятель носит через плечо.",,С,Севня
Седмица,"семь дней, неделя.",,С,Седмица
Секундант,"свидетель-посредник, сопровождающий каждого из участников дуэли.",,С,Секундант
Семеюшка,"муж, жена (в похоронных причитаниях).",,С,Семеюшка
Семина,"семь дней, неделя.",,С,Семина
Сени,"крытая галерея, парадная терраса верхнего этажа дома.",,С,Сени
Сержант,"воинское звание младшего командного состава в армии; лицо, носящее это звание.",,С,Сержант
Сермяга,грубое сукно.,,С,Сермяга
Сивер,"север, северный ветер.",сиверко,С,"Сивер, сиверко"
Сикурс,"помощь, поддержка в военных действиях.",,С,Сикурс
Сим,Добавлено из анализа облаков слов (ручная проверка),,С,Сим
Сир,"сиротливый, бедный.",,С,Сир
Сиречь,то есть.,,С,Сиречь
Сих,Добавлено из анализа облаков слов (ручная проверка),,С,Сих
Скало,круглый деревянный валик для катанья белья или раскатывания теста.,"скал, скалка",С,"Скало, скал, скалка"
Скалы,весы.,скалва,С,"Скалы, скалва"
Скородить,"бороновать; волочить что-либо по земле; гнуть, сводить, сгибать.",,С,Скородить
Скрания,"вески, щеки.",,С,Скрания
Скрута,"древнерусский сорт наливных яблочек, позже – один из самых дешевых сортов яблок.",,С,Скрута
Скрута ження,"крута, набор нарядной одежды, обычно женской.",,С,Скрута ження
Скучиться,"собраться в кучу, в одно место.",,С,Скучиться
Слина,слюна.,,С,Слина
Слично,"достойно, прилично, соответствующе.",,С,Слично
Служивый солдат,военнослужащий.,,С,Служивый солдат
Смашной,вкусный.,,С,Смашной
Смолочи заячьи,вымя: в позднейших источниках так называют обычно коровье вымя.,,С,Смолочи заячьи
Смород,"смрад, вонь.",,С,Смород
Смотрители,зрители.,,С,Смотрители
Смотритель,"официальное должностное лицо, которому поручено наблюдение над кем-нибудь или чем-нибудь.",,С,Смотритель
Смычина,"суковатая, крепкая палка, идущая на борону.",,С,Смычина
Снет,сушеная рыба вандыш.,снеток,С,"Снет, снеток"
Собина,"имущество, достояние, пожитки.",собь,С,"Собина, собь"
Содом,"беспорядок, шум, суматоха.",,С,Содом
Сокотать,"стрекотать, кричать по-сорочьи; переносн.: болтать без умолку.",,С,Сокотать
Солод,бродильный продукт из проросших зерен.,,С,Солод
Сорок мучеников,"день памяти христианских Севастийских мучеников, отмечался 9 марта по ст. ст.",,С,Сорок мучеников
Соромиться,срамиться.,,С,Соромиться
Сотью,сто раз.,,С,Сотью
Соцкий,"сотский, крестьянин, избиравшийся для исполнения полицейских функций в деревне.",,С,Соцкий
Сочень,"пресные тонкие лепешки, жаренные на растительном масле (соке): конопляном или льняном.",,С,Сочень
Сочни,"тонкие пресные лепешки из муки, начиненные кашей или творогом.",соцни,С,"Сочни, соцни"
Спас,"христианский праздник преображения в честь Иисуса Христа. В народе праздновался три раза: 1, 6 и 16 августа по ст. ст.",,С,Спас
Спицы,деревянные гвозди в стене.,,С,Спицы
Спорина,"рост, изобилие, прибыль.",,С,Спорина
Спорки,"распоротые части одежды, тряпье.",,С,Спорки (поротье)
Спорый,"прочный, выгодный (о работе, деятельности); энергичный, деловой (о человеке).",,С,Спорый
Спорынья,"быстрота, торопливость в работе; сорняк во ржи.",,С,Спорынья
Спорядный,"сосед, односельчанин (от «ряд» – улица).",,С,Спорядный
Сретенье,христианский праздник в честь Христа (2 февраля по ст. ст.).,,С,Сретенье
Среча,нежелательная встреча.,,С,Среча
Ставец,"большая чашка, миска.",,С,Ставец
Ставец,небольшой приделанный к стене шкафчик для посуды; деревянный или глиняный сосуд с крышкой.,,С,Ставец
Стайка,"стойло, скотный двор, загон, отгороженное место для скота.",,С,Стайка
Стамовик,изгородь из мелкого леса.,становик,С,"Стамовик, становик"
Станица неудольная,дети покойного.,,С,Станица неудольная
Становой,"становой пристав, в дореволюционной России – полицейский чиновник, начальник полицейского управления в уезде.",,С,Становой
Стапешки,жаренные на масле ломтики калача.,,С,Стапешки
Старец,Добавлено из анализа облаков слов (ручная проверка),,С,Старец
Староста,"в дореволюционной России выборное или назначаемое должностное лицо, выполнявшее административно-полицейские обязанности в сельской общине.",,С,Староста
Старца,Добавлено из анализа облаков слов (ручная проверка),,С,Старца
Старшина,"выборное или назначенное лицо, руководящее делами какого либо сообщества.",,С,Старшина
Стезя,"дорога, путь.",,С,Стезя
Стень,тень.,,С,Стень
Стерво,мертвечина.,,С,Стерво
Стихарь,"одежда священнослужителя, прямая, длинная, с широкими рукавами.",,С,Стихарь
Стлище,"место, где расстилают лен или конопель для вялки, просушки или холст для отбелки.",,С,Стлище
Столчак,"стольчак, стульчак.",,С,Столчак
Странный,"странствующий человек, странник.",,С,Странный
Страстная неделя,неделя перед пасхой.,,С,Страстная неделя
Стрелки громные и топорки,сплавленный молнией песок или камень метеоритного происхождения; служили для лечебного «сливания вод».,,С,Стрелки громные и топорки
Стремянный,"слуга, находящийся во время псовой охоты при господине и наблюдающий за его сворой.",,С,Стремянный
Стреха,"нижний, свисающий край крыши деревянного дома, избы.",,С,Стреха
Стропотный,строптивый.,,С,Стропотный
Студ,стыд.,,С,Студ
Стяг,"шест, жердь; флаг, знамя; мясная очищенная туша без головы и ног.",,С,Стяг
Стяжье,"жерди, слеги, толстые палки для укрепления стога или воза с сеном.",,С,Стяжье
Суволока,"плохая посконь, брошенная в поле, всякий бурьян, сорная трава; народ, сброд.",,С,Суволока
Судно,"посудина, сосуд, корабль.",,С,Судно
Суженая,предназначенная судьбой в жены кому-нибудь.,,С,Суженая
Суколено,коленце в стебле.,,С,Суколено
Сукрой,ломоть хлеба во всю ковригу.,,С,Сукрой
Сумет,сугроб.,,С,Сумет
Супостат,"противник, враг.",,С,Супостат
Супостатка,соперница.,,С,Супостатка
Сурово,"ткань без окраски, преимущественно холст.",суровье,С,"Сурово, суровье"
Сурьма,черная краска; сурьмить брови – красить сурьмой.,,С,Сурьма
Сусек,"отсек или ларь в амбаре, где хранится зерно.",,С,Сусек
Суслон,"составленные на ниве для просушки снопы, укрытые верхним снопом.",,С,Суслон
Сухоросо,"без росы, засушливо.",,С,Сухоросо
Существенность,"действительность, окружающий мир.",,С,Существенность
Сущи,"сушеная мелкая рыбешка, не обязательно снеток.","сущь, сушик",С,"Сущи, сущь, сушик"
Схима,"высшая степень монашества в православной церкви, налагающая самые строгие правила.",,С,Схима
Съезжий двор,полицейский участок.,,С,Съезжий двор
Сыр,творог.,,С,Сыр
Сыта,"медовый взвар; вода, подслащенная медом.",,С,Сыта
Сыта,"заведенный на солоде мед, мед сыченый.",,С,Сыта
Сычка,самка сыча (совы). Сычи весной много кричат. Переносное значение: крикливая женщина.,,С,Сычка
Тавранчуг,похлебка из разных сортов рыбы.,,Т,Тавранчуг (тавранчус)
Таган,железная с ножками подставка под кухонную посуду.,,Т,Таган
Таже,"затем, потом.",,Т,Таже
Такожде,также.,,Т,Такожде
Талан,"судьба, удача, счастье.",,Т,Талан
Талина,"талая земля, проталина.",,Т,Талина
Таможенный,служащий в таможне.,,Т,Таможенный
Таможня,"место на границе, учрежденное для осмотра привозимых и вывозимых товаров и для сбора с них пошлины.",,Т,Таможня
Танок,хоровод.,,Т,Танок
Татарские шаровары,"длинные широкие штаны, собранные у щиколоток.",,Т,Татарские шаровары
Тать,вор.,,Т,Тать
Тафта,гладкая и тонкая шелковая ткань восточного происхождения.,,Т,Тафта
Тафтяный,сделанный из тафты.,,Т,Тафтяный
Творец,"бог, автор.",,Т,Творец
Телогрея или душегрея,"легкое нарядное женское платье, которое носили поверх сарафана.",,Т,Телогрея или душегрея
Тенетник,паутина; паук.,,Т,Тенетник
Тенёта,"сеть для ловли зверей, паутина.",,Т,Тенёта
Терлик,"род кафтана до пят, с короткими рукавами и с перехватом в талии, с застежкой на груди.",,Т,Терлик
Тесмяный,сделанный из тесьмы.,,Т,Тесмяный
Ти,тебе.,,Т,Ти
Тиун,"приказчик, управляющий.",,Т,Тиун
Током,течением.,,Т,Током
Толчея,"мельница, где обдирали шелуху с зерна.",,Т,Толчея
Тоня,"рыбная ловля; одна закидка невода; место, где ловят рыбу.",,Т,Тоня
Торлоп,тулуп.,,Т,Торлоп
Тороват,"щедрый, приветливый.",,Т,Тороват
Торок,"порыв ветра, шквал.",,Т,Торок
Торока,"ремни позади седла для привязывания к нему груза, дорожного мешка.",,Т,Торока (тороки)
Тороком,"битой, торной дорогой.",,Т,Тороком
Торопеть,"быть робким, пугливым.",,Т,Торопеть
Торочки,"выпушки, оторочка.",,Т,Торочки
Трактир,гостиница с рестораном; ресторан.,,Т,Трактир
Требник,богослужебная книга.,,Т,Требник
Трензель,"металлическая цепочка для удержания мундштука во рту лошади, использовался как своеобразный музыкальный инструмент.",,Т,Трензель
Треноги,"путы, которыми стреноживают лошадь.",,Т,Треноги
Троеденная,"триединое божество (отец, сын, дух святой).",,Т,Троеденная
Трожды,трижды.,трожжи,Т,"Трожды, трожжи"
Трясца,"лихорадка, трясучка.",трясотье,Т,"Трясца, трясотье"
Туга,"печаль, скорбь, тоска.",,Т,Туга
Туес,"в роде ведерка из бересты, с крышкой.",,Т,Туес
Тукмачи,гороховая лапша.,,Т,Тукмачи
Тулуп,"долгополая меховая шуба (чаще овчинная, заячья), обычно не крытая сукном.",,Т,Тулуп
Турецкая сабля,"военное ручное оружие, несколько выгнутой формы, с рукояткой и острием.",,Т,Турецкая сабля
Тщивый,"щедрый, усердный, заботливый.",,Т,Тщивый
Тын,высокий забор из заостренных кольев.,,Т,Тын
Тьма,десять тысяч.,тма,Т,"Тьма, тма"
Тюлелей,тюлевая оборка.,,Т,Тюлелей
Тюря,"кушанье; хлеб, крошенный в квас, воду, молоко.",,Т,Тюря
Тябло,"кивот, полка для икон.",,Т,Тябло
Тяжа,судебное дело.,тяжба,Т,"Тяжа, тяжба"
Убо,"ибо, так как, поэтому.",,У,Убо
Убогий,"бедный, неимущий, нищий.",,У,Убогий
Уброд,рыхлый глубокий снег.,,У,Уброд
Убрус,"тонкое полотно, полотенце.",,У,Убрус
Убрус,"нарядный головной убор, свадебная фата.",,У,Убрус
Увя,дитя.,,У,Увя
Уд,член.,,У,Уд
Удобно,способно.,,У,Удобно
Ужинистый хлеб,"добрый, обильный ужином, соломой, числом снопов.",,У,Ужинистый хлеб
Укора,"упрек, порицание; укоризна.",,У,Укора (укор)
Укрута (см. крути,праздничная одежда.,округа),У,"Укрута (см. крути, округа)"
Уложенье,"свод, собрание законов.",,У,Уложенье
Умежек,"умежье, полоса вдоль межи (см. обмежа).",,У,Умежек
Умежениться,"прийти в межень, в обычное, среднее состояние, количество.",,У,Умежениться (о воде)
Умет,постоялый двор.,,У,Умет
Уповать,надеяться.,,У,Уповать
Уповод,"срок, определенный период времени от двух до четырех часов; время работы за один прием до отдыха и еды, время проезда без кормежки лошадей.",,У,Уповод
Урядник,унтер-офицерский чин в казачьих войсках.,,У,Урядник
Усечки,"тонкая дрань, оставшаяся после плотничьих работ.",,У,Усечки
Усовники,"лечебные книги с рекомендациями против болезней, сопровождающихся внутренним воспалением (усовье – колотье, боль под ложечкой).",,У,Усовники
Устав,"порядок, обычай.",,У,Устав
Усчина,грубое полотно.,,У,Усчина
Утлый,"ветхий, худой, дырявый.",,У,Утлый
Уток,поперечные нити ткани (см. основа).,,У,Уток
Уторы,"нарезка внутренней поверхности деревянного сосуда у того края, где ребром вставляется дно.",,У,Уторы
Ухитить,"устроить, уладить, укрепить.",,У,Ухитить
Ухитить,"уконопатить махом, приготовить к зиме.",,У,Ухитить
Фамилия,"здесь: род, ряд поколений, имеющий одного предка.",,Ф,Фамилия
Фата,покров из легкой прозрачной ткани: большой четырехугольный платок.,,Ф,Фата
Фельдмаршал,"точнее, генерал-фельдмаршал – высший чин (1-го класса) в сухопутных войсках.",,Ф,Фельдмаршал
Ферязи,"верхняя одежда без пояса и воротника с длиннымн рукавами, распашная с рядом пуговиц.",,Ф,Ферязи
Ферязь,"мужское долгое платье с длинными рукавами, без воротника; женское платье, праздничный сарафан.",,Ф,Ферязь
Флигель,"небольшое строение, находящееся в стороне от главного дома.",,Ф,Флигель
Фомин понедельник,понедельник на второй неделе после пасхи.,,Ф,Фомин понедельник
Форпост,передовой пост охраняющих частей; укрепленный пункт на границе.,,Ф,Форпост
Фразис,"фраза, выражение.",,Ф,Фразис
Фряжские вина,"франкские, т. е. всякие заморские виноградные вина.",,Ф,Фряжские вина
Фуфайка,"короткая одежда в виде рубашки или душегрейки, надеваемая для тепла.",,Ф,Фуфайка
Хайка,"осуждение, порицание – от слова «хаять», осуждать, порицать.",,Х,Хайка
Хвальный,достойный похвал.,,Х,Хвальный
Хвилый,"слабый, хилый.",,Х,Хвилый
Хлопчатая бумага,"волна хлопка, вата.",,Х,Хлопчатая бумага
Холоп,крепостной слуга; человек раболепный.,,Х,Холоп
Холуй,"подхалим, низкопоклонник.",,Х,Холуй
Хохолки,"народные названия мелкого ерша, обычно сушеного: вообще всякая рыбешка, которую продавали не на вес, а мерками","хохоль, хохлики, хохолковые",Х,"Хохолки, хохоль, хохлики, хохолковые"
Хула,порицание.,,Х,Хула
Целик,целина.,,Ц,Целик
Целовальник,"продавец вина в питейных домах, кабаках.",,Ц,Целовальник (цаловальник)
Цеп,"молотило, длинная палка держала, короткая – било, соединены ремнем.",,Ц,Цеп
Циновка,"плотная плетеная рогожа из сученых мочал, соломы, тростника и т. п.",,Ц,Циновка
Чало,"чаялось, казалось.",,Ч,Чало
Чалый,серый.,,Ч,Чалый
Чаятельно,"вероятно, по-видимому.",,Ч,Чаятельно
Чеботарь,сапожник.,,Ч,Чеботарь
Чело,передняя часть русской печи.,,Ч,Чело
Чело печное,вход в печь.,,Ч,Чело печное
Челобитье,письменное прошение.,,Ч,Челобитье
Черевья шапка,пошитая из меха взятого от брюха животного.,,Ч,Черевья шапка
Черемный,"красный, рыжий.",,Ч,Черемный
Чернец,монах.,,Ч,Чернец
Чернец,"монах, монашенка.",черница,Ч,"Чернец, черница"
Черница,черника.,,Ч,Черница
Черногуз,ласточка.,,Ч,Черногуз
Черносошный,"государственный крестьянин, плативший дань, подать с сохи.",,Ч,Черносошный
Черностоп,осенние холода без снега.,,Ч,Черностоп
Четверик,"старая русская мера или предмет, содержащие 4 какие-нибудь единицы (напр., куль в 4 пуда).",,Ч,Четверик
Четыги,"мягкие кожаные (сафьяновые) или матерчатые чулки с подошвой из нескольких слоев кожи, на которые затем надевались башмаки.","чедыги, чеготья",Ч,"Четыги, чедыги, чеготья"
Чехол,"собирательное название всякого покрывала, в данном случае – халат.",,Ч,Чехол
Чин,порядок.,,Ч,Чин
Чин,"правильный порядок службы или действия: лицо, его исполняющее.",,Ч,Чин
Чресла,"бедра, поясница, стан.",,Ч,Чресла
Чтец,читатель.,,Ч,Чтец
Чтительный,"уважаемый, почитаемый.",,Ч,Чтительный
Чуваши,"древнейшие обитатели среднего Поволжья; формирование чувашского народа происходило на занимаемой им в настоящее время территории, в результате сложного процесса ассимиляции местных племен булгарами и родственными им сувазами.",,Ч,Чуваши
Чужится,чуждается.,,Ч,Чужится
Чуйка,длинный суконный кафтан.,,Ч,Чуйка
Чумичка,"уполовник, переносн. значение: неопрятная женщина.",,Ч,Чумичка
Чюмички,кухонные ковши с длинной ручкой.,,Ч,Чюмички
Шабала,"баклуша, осиновый чурбан, из которого точат деревянную посуду.",шебала,Ш,"Шабала, шебала"
Шабур,"сермяжина, домотканая одежда из грубого домотканого материала; плохая, грубая одежда.",,Ш,Шабур
Шайка,"скопище людей, ватага; деревянная посудина с ручкой для зачерпываняя и носки воды.",,Ш,Шайка
Шалыга,"плетеный мяч; деревянный шар; плеть, кнут, погонялка.",,Ш,Шалыга (шелыга)
Шаль,"шалость, баловство, от слова «шалить».",,Ш,Шаль
Шанцы,окопы.,,Ш,Шанцы
Шаньга,"ватрушка, сочень, простая лепешка.",,Ш,Шаньга
Шафран,в Домострое обозначает всякую вообще пряность.,,Ш,Шафран
